year,faction_type,total_power,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,factions_count
1997,ideological_network,1.378,0.1652,67.41,65.95,10.0,8.52,2
1997,socioeconomic_network,0.8375,0.1004,66.5,67.2,14.0,13.49,1
1998,institutional_network,7.568,0.7735,57.95,57.31,6.06,5.87,5
1998,ideological_network,1.378,0.1409,68.41,66.95,11.0,9.51,2
1998,socioeconomic_network,0.8375,0.0856,67.5,68.2,15.0,14.49,1
1999,institutional_network,7.568,0.7735,59.09,58.43,6.66,6.52,5
1999,ideological_network,1.378,0.1409,69.41,67.95,12.0,10.51,2
1999,socioeconomic_network,0.8375,0.0856,68.49,69.2,16.0,15.49,1
2000,institutional_network,7.568,0.7735,60.09,59.44,7.67,7.52,5
2000,ideological_network,1.378,0.1409,70.41,68.95,13.0,11.52,2
2000,socioeconomic_network,0.8375,0.0856,69.5,70.2,17.0,16.49,1
2001,institutional_network,5.757,0.7245,60.43,61.56,7.3,8.49,5
2001,ideological_network,1.352,0.1701,67.91,67.58,12.5,11.17,3
2001,socioeconomic_network,0.8375,0.1054,70.5,71.2,18.0,17.49,1
2002,institutional_network,7.413,0.7361,62.21,60.87,7.7,7.7,5
2002,ideological_network,1.82,0.1807,67.32,63.54,13.5,9.42,3
2002,socioeconomic_network,0.8375,0.0832,71.5,72.2,19.0,18.49,1
2003,institutional_network,8.078,0.7525,62.2,61.0,8.3,8.03,5
2003,ideological_network,1.82,0.1695,68.32,64.53,14.5,10.42,3
2003,socioeconomic_network,0.8375,0.078,72.49,73.2,20.0,19.49,1
2004,institutional_network,8.078,0.7525,63.2,62.01,9.3,9.03,5
2004,ideological_network,1.82,0.1695,69.32,65.54,15.5,11.43,3
2004,socioeconomic_network,0.8375,0.078,73.5,74.2,21.0,20.49,1
2005,institutional_network,7.198,0.7699,64.4,63.26,9.3,9.27,5
2005,ideological_network,1.313,0.1405,68.72,68.47,16.5,15.49,3
2005,socioeconomic_network,0.8375,0.0896,74.5,75.2,22.0,21.49,1
2006,institutional_network,8.101,0.828,58.69,59.13,4.8,5.33,5
2006,ideological_network,0.845,0.0864,64.22,61.53,14.0,10.88,2
2006,socioeconomic_network,0.8375,0.0856,61.61,60.28,13.5,11.6,1
2007,institutional_network,7.436,0.8156,61.12,60.74,4.59,5.78,5
2007,ideological_network,0.845,0.0926,65.22,62.53,14.99,11.88,2
2007,socioeconomic_network,0.8375,0.0918,62.6,61.28,14.49,12.59,1
2008,institutional_network,7.436,0.8156,62.12,61.74,5.6,6.78,5
2008,ideological_network,0.845,0.0926,66.22,63.53,16.0,12.88,2
2008,socioeconomic_network,0.8375,0.0918,63.61,62.28,15.5,13.6,1
2009,institutional_network,6.288,0.7434,65.46,65.77,6.15,7.69,5
2009,socioeconomic_network,1.325,0.1567,59.03,57.61,11.17,9.41,1
2009,ideological_network,0.845,0.0999,67.22,64.53,17.0,13.88,2
2010,institutional_network,6.288,0.7159,66.46,66.77,7.15,8.69,5
2010,socioeconomic_network,1.65,0.1879,64.25,62.22,9.25,8.46,1
2010,ideological_network,0.845,0.0962,68.22,65.53,18.0,14.88,2
2011,institutional_network,5.51,0.6883,65.24,65.65,9.34,10.47,5
2011,socioeconomic_network,1.65,0.2061,65.25,63.22,10.24,9.45,1
2011,ideological_network,0.845,0.1056,69.22,66.53,19.0,15.88,2
2012,institutional_network,6.953,0.7091,64.6,65.2,8.35,9.4,5
2012,socioeconomic_network,1.65,0.1683,66.25,64.22,11.25,10.46,1
2012,ideological_network,1.2025,0.1226,63.87,64.25,12.0,12.31,2
2013,institutional_network,7.568,0.7231,65.43,65.93,8.55,9.21,5
2013,ideological_network,1.7355,0.1658,64.77,66.57,10.0,9.38,2
2013,socioeconomic_network,1.1625,0.1111,72.38,70.81,14.83,14.38,1
2014,institutional_network,7.568,0.7231,65.17,65.27,5.95,7.61,5
2014,ideological_network,1.7355,0.1658,69.43,69.77,7.0,7.97,2
2014,socioeconomic_network,1.1625,0.1111,75.82,74.84,13.17,12.07,1
2015,institutional_network,7.568,0.7231,65.95,66.08,6.14,7.91,5
2015,ideological_network,1.7355,0.1658,70.43,70.77,8.0,8.97,2
2015,socioeconomic_network,1.1625,0.1111,76.82,75.84,14.16,13.07,1
2016,institutional_network,7.0455,0.7086,64.46,64.19,6.23,6.94,5
2016,ideological_network,1.7355,0.1745,71.44,71.77,9.0,9.98,2
2016,socioeconomic_network,1.1625,0.1169,77.82,76.85,15.17,14.07,1
2017,institutional_network,4.4865,0.5699,67.36,67.3,6.92,9.35,4
2017,socioeconomic_network,2.183,0.2773,71.25,69.57,9.9,8.26,1
2017,ideological_network,1.2025,0.1528,72.53,72.42,13.0,13.85,2
2018,institutional_network,8.1635,0.7085,63.15,62.54,5.57,5.59,5
2018,ideological_network,1.7095,0.1483,70.07,70.32,8.17,9.38,3
2018,socioeconomic_network,1.65,0.1432,72.13,70.07,12.25,10.6,1
2019,institutional_network,7.4985,0.6905,66.94,64.79,6.57,6.76,5
2019,ideological_network,1.7095,0.1575,71.07,71.32,9.16,10.37,3
2019,socioeconomic_network,1.65,0.152,73.12,71.07,13.25,11.6,1
2020,institutional_network,6.9135,0.7348,67.38,65.3,7.58,8.22,5
2020,socioeconomic_network,1.65,0.1754,74.13,72.07,14.25,12.6,1
