year,faction_id,faction_name_ru,members_count,total_faction_power,raw_power_share,normalized_power_share,mean_age,weighted_mean_age,mean_political_age,weighted_mean_political_age,mean_elite_age,share_60_plus,share_70_plus
1889,imp_dynastic_court,Династический двор,1,1.0,0.6667,0.5128,44.31,44.31,8.3,8.3,8.3,0.0,0.0
1889,imp_church_synod,Церковно-синодальный контур,1,0.475,0.3167,0.2436,62.11,62.11,29.5,29.5,9.19,1.0,0.0
1889,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.3167,0.2436,62.11,62.11,29.5,29.5,9.19,1.0,0.0
1890,imp_dynastic_court,Династический двор,1,1.0,0.6667,0.5128,45.31,45.31,9.3,9.3,9.3,0.0,0.0
1890,imp_church_synod,Церковно-синодальный контур,1,0.475,0.3167,0.2436,63.11,63.11,30.5,30.5,10.19,1.0,0.0
1890,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.3167,0.2436,63.11,63.11,30.5,30.5,10.19,1.0,0.0
1891,imp_dynastic_court,Династический двор,1,1.0,0.6667,0.5128,46.31,46.31,10.3,10.3,10.3,0.0,0.0
1891,imp_church_synod,Церковно-синодальный контур,1,0.475,0.3167,0.2436,64.11,64.11,31.5,31.5,11.18,1.0,0.0
1891,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.3167,0.2436,64.11,64.11,31.5,31.5,11.18,1.0,0.0
1892,imp_dynastic_court,Династический двор,1,1.0,0.6667,0.5128,47.31,47.31,11.3,11.3,11.3,0.0,0.0
1892,imp_church_synod,Церковно-синодальный контур,1,0.475,0.3167,0.2436,65.12,65.12,32.5,32.5,12.19,1.0,0.0
1892,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.3167,0.2436,65.12,65.12,32.5,32.5,12.19,1.0,0.0
1893,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,48.31,48.31,12.3,12.3,12.3,0.0,0.0
1893,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,44.01,44.01,24.5,24.5,0.84,0.0,0.0
1893,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,66.11,66.11,33.5,33.5,13.19,1.0,0.0
1893,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,66.11,66.11,33.5,33.5,13.19,1.0,0.0
1894,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,49.31,49.31,13.3,13.3,13.3,0.0,0.0
1894,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,45.01,45.01,25.5,25.5,1.83,0.0,0.0
1894,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,67.11,67.11,34.5,34.5,14.19,1.0,0.0
1894,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,67.11,67.11,34.5,34.5,14.19,1.0,0.0
1895,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,27.12,27.12,0.66,0.66,0.66,0.0,0.0
1895,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,46.01,46.01,26.49,26.49,2.83,0.0,0.0
1895,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,68.11,68.11,35.5,35.5,15.18,1.0,0.0
1895,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,68.11,68.11,35.5,35.5,15.18,1.0,0.0
1896,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,28.12,28.12,1.66,1.66,1.66,0.0,0.0
1896,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,47.01,47.01,27.5,27.5,3.84,0.0,0.0
1896,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,69.12,69.12,36.5,36.5,16.19,1.0,0.0
1896,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,69.12,69.12,36.5,36.5,16.19,1.0,0.0
1897,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,29.12,29.12,2.66,2.66,2.66,0.0,0.0
1897,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,48.01,48.01,28.5,28.5,4.84,0.0,0.0
1897,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,70.12,70.12,37.5,37.5,17.19,1.0,1.0
1897,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,70.12,70.12,37.5,37.5,17.19,1.0,1.0
1898,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,30.12,30.12,3.66,3.66,3.66,0.0,0.0
1898,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,49.01,49.01,29.5,29.5,5.83,0.0,0.0
1898,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,71.11,71.11,38.5,38.5,18.19,1.0,1.0
1898,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,71.11,71.11,38.5,38.5,18.19,1.0,1.0
1899,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,31.12,31.12,4.66,4.66,4.66,0.0,0.0
1899,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,50.01,50.01,30.49,30.49,6.83,0.0,0.0
1899,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,72.11,72.11,39.5,39.5,19.18,1.0,1.0
1899,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,72.11,72.11,39.5,39.5,19.18,1.0,1.0
1900,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,32.12,32.12,5.66,5.66,5.66,0.0,0.0
1900,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,51.0,51.0,31.49,31.49,7.83,0.0,0.0
1900,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,73.11,73.11,40.5,40.5,20.18,1.0,1.0
1900,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,73.11,73.11,40.5,40.5,20.18,1.0,1.0
1901,imp_dynastic_court,Династический двор,1,1.0,0.4878,0.4044,33.12,33.12,6.66,6.66,6.66,0.0,0.0
1901,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2549,0.2113,52.0,52.0,32.49,32.49,8.83,0.0,0.0
1901,imp_church_synod,Церковно-синодальный контур,1,0.475,0.2317,0.1921,74.11,74.11,41.5,41.5,21.18,1.0,1.0
1901,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.2317,0.1921,74.11,74.11,41.5,41.5,21.18,1.0,1.0
1902,imp_dynastic_court,Династический двор,1,1.0,0.3922,0.4044,34.12,34.12,7.66,7.66,7.66,0.0,0.0
1902,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2049,0.2113,53.0,53.0,33.49,33.49,9.83,0.0,0.0
1902,imp_church_synod,Церковно-синодальный контур,1,0.475,0.1863,0.1921,75.11,75.11,42.5,42.5,22.18,1.0,1.0
1902,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.1863,0.1921,75.11,75.11,42.5,42.5,22.18,1.0,1.0
1903,imp_dynastic_court,Династический двор,1,1.0,0.3922,0.4044,35.12,35.12,8.66,8.66,8.66,0.0,0.0
1903,imp_finance_modernizers,Финансовые модернизаторы,1,0.5225,0.2049,0.2113,54.0,54.0,34.49,34.49,10.83,0.0,0.0
1903,imp_church_synod,Церковно-синодальный контур,1,0.475,0.1863,0.1921,76.11,76.11,43.49,43.49,23.18,1.0,1.0
1903,imp_conservative_bureaucracy,Консервативная бюрократия,1,0.475,0.1863,0.1921,76.11,76.11,43.49,43.49,23.18,1.0,1.0
